event,round,rank,lane,athlete_name,athlete_number,affiliation,record,note,competition,date,venue
男子対校100m,決勝,順位,ﾚｰﾝ,氏名,所属,記録,備考,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,1,3,伊藤　将永(5):71618,広島大,10.77,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,2,6,福岡　孝朗(4):2235,和歌山県立医科大,10.87,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,3,2,池上　孟志(3):904,京都大,10.92,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,4,4,青木　陸(5):61747,京都府立医科大,10.98,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,5,8,吉村　要(4):2332,大阪医科薬科大,11.12,[111],,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,6,7,大洞　栄貴(4):2178,名古屋大,11.12,[112],,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,7,1,松尾　朋哉(2):8584,京都大,11.13,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校100m,決勝,8,5,古城　昇太郎(3):2240,和歌山県立医科大,12.20,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,順位,ﾚｰﾝ,氏名,所属,記録,備考,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,1,3,伊藤　将永(5):71618,広島大,21.70,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,2,6,金光　将英(3):61141,大阪大,22.03,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,3,8,岩城　光伸(3):2125,関西医科大,22.31,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,4,4,古城　昇太郎(3):2240,和歌山県立医科大,22.35,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,5,7,岡　尚希(5):71050,香川大,22.70,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,6,1,中矢　匠音(1):2309,愛媛大,23.06,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,7,2,前川　駿佑(4):2120,関西医科大,23.14,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校200m,決勝,-,5,青木　陸(5):61747,京都府立医科大,DNS,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校400m,決勝,順位,ﾚｰﾝ,氏名,所属,記録,備考,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校400m,決勝,1,4,深草　秋陽(2):40629,福井大,49.64,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校400m,決勝,2,8,松井　秀真(3):62248,滋賀医科大,50.31,,,,2025年6月29日,皇子山総合運動公園陸上競技場
男子対校400m,決勝,3,6,川端　悠暉(6):2200,京都大,50.64,,,,2025年6月29日,皇子山総合運動公園陸上競技場
